39.598,37,175.36,18,134,284.26,37,166.88
29.698,21,168.29,22,132,284.26,52,168.29
46.669,52,152.74,41,122,284.26,72,49.497
49.497,46,159.81,29,115,284.26,64,72.125
42.426,53,154.15,41,110,284.26,66,55.154
63.64,61,147.08,45,108,284.26,63,151.32
19.799,26,173.95,8,145,284.26,26,176.78
84.853,75,19.799,60,93,284.26,78,11.314
50.912,53,151.32,39,122,284.26,73,65.054
43.841,66,166.88,28,114,284.26,58,38.184
31.113,54,134.35,28,77,284.26,89,72.125
15.556,42,24.042,10,149,284.26,64,25.456
56.569,52,145.66,43,107,284.26,78,57.983
62.225,60,149.91,51,119,284.26,72,59.397
67.882,70,56.569,51,112,284.26,61,49.497
56.569,47,148.49,42,110,284.26,71,63.64
93.338,69,35.355,68,91,284.26,85,69.296
96.167,97,123.04,70,72,284.26,62,24.042
53.74,60,178.19,24,131,284.26,35,159.81
19.799,57,169.71,21,132,284.26,54,29.698
