67.882,26,83.439,26,41,284.26,18,65.054
60.811,11,65.054,18,12,284.26,14,46.669
60.811,16,59.397,26,24,284.26,13,57.983
45.255,13,72.125,9,41,284.26,18,74.953
60.811,14,56.569,28,22,284.26,15,56.569
70.711,39,86.267,25,47,284.26,14,73.539
49.497,7,70.711,26,48,284.26,46,90.51
70.711,17,63.64,17,23,284.26,14,55.154
70.711,17,56.569,27,10,284.26,11,59.397
63.64,12,57.983,7,15,284.26,9,50.912
69.296,13,66.468,22,17,284.26,3,55.154
63.64,17,59.397,14,17,284.26,14,41.012
69.296,16,62.225,23,12,284.26,11,50.912
60.811,4,74.953,5,25,284.26,4,56.569
70.711,17,69.296,34,25,284.26,21,60.811
55.154,21,57.983,8,2,284.26,15,33.941
72.125,33,74.953,29,22,284.26,33,67.882
82.024,41,80.61,37,37,284.26,38,77.782
90.51,57,94.752,46,48,284.26,53,97.581
73.539,22,65.054,26,11,284.26,17,55.154
