45.255,159,213.55,34,149,284.26,23,36.77
39.598,172,210.72,28,149,284.26,9,210.72
19.799,170,230.52,14,163,284.26,11,230.52
49.497,171,200.82,35,142,284.26,10,200.82
80.61,172,169.71,57,120,284.26,9,169.71
100.41,167,149.91,71,106,284.26,14,24.042
59.397,163,214.96,29,153,284.26,20,200.82
72.125,133,173.95,63,120,284.26,48,62.225
52.326,162,206.48,47,136,284.26,20,197.99
110.31,158,144.25,80,102,284.26,24,144.25
156.98,201,101.82,113,70,284.26,201,31.113
38.184,163,217.79,17,165,284.26,17,28.284
67.882,134,192.33,53,130,284.26,48,79.196
48.083,151,209.3,29,153,284.26,32,209.3
130.11,24,128.69,90,91,284.26,33,41.012
63.64,133,182.43,38,144,284.26,49,74.953
101.82,130,169.71,66,116,284.26,51,66.468
103.24,161,155.56,74,108,284.26,20,29.698
284.26,171,230.52,24,158,284.26,12,284.26
59.397,150,203.65,44,138,284.26,32,53.74
