164.05,147,164.05,54,45,284.26,25,101.82
29.698,131,36.77,48,59,284.26,36,106.07
36.77,122,73.539,37,71,284.26,21,111.72
72.125,122,21.213,70,48,284.26,24,89.095
76.368,116,32.527,72,38,284.26,27,77.782
59.397,136,42.426,64,40,284.26,7,80.61
39.598,159,36.77,56,52,284.26,11,91.924
35.355,121,74.953,37,71,284.26,22,113.14
41.012,83,115.97,40,89,284.26,69,131.52
28.284,162,21.213,49,47,284.26,8,93.338
31.113,119,32.527,55,63,284.26,48,113.14
19.799,143,18.385,52,65,284.26,24,107.48
168.29,149,181.02,32,44,284.26,17,97.581
19.799,142,166.88,52,51,284.26,24,101.82
176.78,129,159.81,59,42,284.26,34,89.095
25.456,152,19.799,43,39,284.26,21,91.924
43.841,140,45.255,59,53,284.26,28,98.995
29.698,135,28.284,60,54,284.26,31,97.581
29.698,136,36.77,48,59,284.26,34,104.65
29.698,131,36.77,48,59,284.26,36,106.07
